name,id,boe-occ-no,date-occ-issued,purpose,first-year-qualified
"D Street Senior Housing, Inc. ",2861195,20115,12/18/07,Charitable ,8-Jul
D.A.R.E. America ,1631009,3668,12/11/03,Charitable ,Unavl
"D.A.V. Charities of Fresno County, Inc. ",542144,17719,5/5/05,Charitable ,5-Apr
D.A.V. Charities of San Joaquin County ,650104,3669,12/11/03,Charitable ,Unavl
D.A.V. Industries ,526940,3670,12/11/03,Charitable ,Unavl
"DAAR-UL-ILM For The Muslim Youth, Inc. (Institute Of Knowledge) ",2225349,20259,2/7/08,Religious ,8-Jul
Dai Bei Temple ,1270211,14639,12/11/03,Religious ,Unavl
Dai Dao Tam Ky Pho Do Hoi Tin Huu Cao Dai Mien Nam California Caodaist Association of Southern Ca ,1589742,21538,10/16/09,Religious ,10-Sep
"Dai Dao Tam Ky Pho Do,Cao Dai Giao Hai Ngoai ",1723675,22140,9/17/10,Religious ,10-Sep
Dai Dao Tam Ky Pho Do-Toa Thanh Tay Ninh  (Chau Dao California) ,1931532,3673,12/11/03,Religious ,Unavl
"Daishu-In West, Inc. ",1977436,3674,12/11/03,Religious ,Unavl
"Dalai Lama Foundation, Inc., The ",2422435,20104,3/4/08,Charitable ,7-Jun
"Dalmatian Dreams Foundation, The ",1943089,18542,12/5/05,Charitable ,6-May
Dameron Hospital Association ,193881,3677,12/11/03,Hospital ,Unavl
Dana Adobe Nipomo Amigos ,2204583,17529,1/23/06,Charitable ,5-Apr
Danbury Park LLC ,201134010195,23511,4/15/13,Charitable ,13-Dec
Dance Action ,577161,3678,12/11/03,Charitable ,Unavl
"Dance Palace, Inc., The ",832568,3680,12/11/03,Charitable ,Unavl
Dancing Star Foundation ,1860814,3682,12/11/03,Charitable ,Unavl
"Dandelion Nursery School, Inc. ",922051,3683,12/11/03,Charitable ,Unavl
Daniel Christian Academy ,3688728,25238,10/7/15,Religious ,15-16
"Daniel's Village, LLC ",200913210059,22109,8/25/10,Charitable ,11-Oct
"Dante House, Inc. ",2129763,3685,12/11/03,Charitable ,Unavl
Danville Area Culture Alliance ,1630965,18183,3/15/07,Charitable ,3-Feb
"Danville Congregational Church, United Church of Christ ",309522,3687,12/11/03,Religious ,Unavl
"Danville Senior Citizens Club, Inc. ",896571,3688,12/11/03,Charitable ,Unavl
"Danville Senior Housing, Inc. ",2348464,17000,3/3/04,Charitable ,5-Apr
"DAR-AL-ULOOM, AL-ISLAMIYAH OF AMERICA ",1410372,15166,12/11/03,Religious ,Unavl
"Darin M. Camarena Health Centers, Inc. ",892335,3689,12/11/03,Charitable ,Unavl
Data Center ,831055,20868,6/17/09,Charitable ,9-Aug
Daughters of Charity Foundation ,1246206,25505,10/12/15,Charitable ,15-16
Daughters of Charity Health System ,2346440,18223,7/15/05,Charitable ,3-Feb
Daughters of Charity Ministry Services Corporation ,2104061,3691,12/11/03,Charitable ,Unavl
Daughters of Charity of St. Vincent de Paul Province of the West ,571182,3692,12/11/03,Religious ,Unavl
Daughters of Mary and Joseph in California ,244066,3693,12/11/03,Religious ,Unavl
"Daughters of Saint Paul, Inc. ",1288220,3694,12/11/03,Religious ,Unavl
Daughters of St. Joseph of California ,398677,3695,12/11/03,Religious ,Unavl
Daughters of Zion ,3457690,23494,6/2/15,Charitable ,13-14
Davar Kingdom of God ,1975658,3696,12/11/03,Religious ,Unavl
"David and Kara Brewer Foundation, The ",1892563,15772,12/11/03,Charitable ,Unavl
"David and Lucile Packard Foundation, The ",467303,3697,12/11/03,Charitable ,Unavl
"David and Margaret Home, Inc. ",165353,3698,12/11/03,Charitable ,Unavl
"David Avenue SJC MGP, LLC ",200732010115,20732,10/15/08,Charitable ,9-Aug
David Brower Center ,2271345,20941,3/23/09,Charitable ,8-Jul
David C. Copley Foundation ,281442,24731,1/6/15,Charitable ,14-15
"David Ministries, Inc. ",771856,3700,12/11/03,Religious ,Unavl
Davis Arts Center ,391774,3703,1/29/15,Charitable ,15-16
Davis Campus Cooperatives ,1115278,14369,12/11/03,Charitable ,Unavl
Davis Community Meals ,1800206,3705,12/11/03,Charitable ,Unavl
Davis Community Television ,1625725,19564,6/7/10,Charitable ,6-May
Davis Musical Theatre Company ,1255798,3708,12/11/03,Charitable ,Unavl
"Davis Senior Housing Communities, Inc. ",2212803,19157,4/30/13,Charitable ,10-Sep
Davis Street Community Center ,1665144,3711,12/11/03,Charitable ,Unavl
Davis Summer House Incorporated ,1657881,3712,12/11/03,Charitable ,Unavl
Dawn Christian Academy ,3680908,25261,7/17/15,Religious ,15-16
"Day Caring Preschool, Inc. ",731478,3717,12/11/03,Charitable ,Unavl
Day Worker Center Of Mountain View ,2797687,20616,4/1/09,Charitable ,9-Aug
"Daybreak Camp, Inc. ",573771,3718,12/11/03,Religious ,Unavl
Dayle McIntosh Center for the Disabled ,903183,3719,12/11/03,Charitable ,Unavl
Dayspring Christian Center Inc. ,3248395,22509,2/28/11,Religious ,12-Nov
"Daytop Village Foundation, Inc. ",6046772,3721,12/11/03,Charitable ,Unavl
DCHS Medical Foundation ,3420318,23442,6/7/13,Hospital ,13-Dec
DCI Donor Services Inc. ,1817433,3723,12/11/03,Charitable ,Unavl
DDSO Foundation ,1527151,3724,12/11/03,Charitable ,Unavl
"De Anza Rescue Unit, Inc. ",581905,3725,12/11/03,Charitable ,Unavl
"De Benneville Pines, Inc. ",419102,3726,12/11/03,Religious ,Unavl
"De La Salle High School of Concord, Inc. ",1829679,3727,12/11/03,Religious ,Unavl
De La Salle Institute ,13779,3728,12/11/03,Religious ,Unavl
De Marillac Academy ,2233433,21186,12/3/09,Religious ,10-Sep
Deaf and Hard of Hearing Service Center ,1237081,3729,12/11/03,Charitable ,Unavl
"Deaf Community Services of San Diego, Inc. ",1201105,17673,10/20/14,Charitable ,13-14
Deaf Counseling Advocacy & Referral Agency ,468133,4003,4/10/09,Charitable ,8-Jul
Deaf Senior Retirement Corporation ,2124612,18585,9/29/05,Charitable ,4-Mar
